h_type,location,society,size,bathroom,balcony,total_sqft,yr_built,furniture,sale_type,amenities,market,office,school,college,hospital,population,railway,airport,on_road,air_quality,restaurant,park,price
apartment,Maneja,Bakeri Swara,3 BHK,3,1,1550,2011,0,new,1,1,1,0,0,1,2,0,0,1,1,1,1,4361705
apartment,Maneja,Bakeri Swara,3 BHK,3,1,1550,2012,1,new,1,1,1,0,0,1,2,0,0,1,1,1,1,5001905
apartment,Maneja,Bakeri Swara,3 BHK,3,1,1860,2010,1,new,1,1,1,0,0,1,2,0,0,1,1,1,1,5588795
apartment,Maneja,Bakeri Swara,2 BHK,2,1,1015,2016,1,new,1,1,1,0,0,1,2,0,0,1,1,1,1,3184740
apartment,Maneja,Bakeri Swara,2 BHK,2,1,1210,2019,0,new,1,1,1,0,0,1,2,0,0,1,1,1,1,3498895
apartment,Maneja,Bakeri Swara,4 BHK,4,1,2605,,1,new,1,1,1,0,0,1,2,0,0,1,1,1,1,8353084
apartment,Ajwa Road,Pragati Tulsi Heights,2 BHK,2,2,1200,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,1900000
apartment,Ajwa Road,Kanha City,2 BHK,2,2,1200,2011,0,new,2,1,1,1,0,1,1,0,0,1,1,1,1,1200000
apartment,Ajwa Road,Kanha City,3 BHK,3,1,1550,2011,1,new,2,1,1,1,0,1,1,0,0,1,1,1,1,3401000
apartment,Ajwa Road,Shree Swaminarayan Niketan,1 BHK,1,1,750,,0,new,0,1,1,0,0,0,1,0,0,0,1,1,0,1100000
apartment,Ajwa Road,Shree Swaminarayan Niketan,2 BHK,2,1,1415,,0,new,0,1,1,0,0,0,1,0,0,0,1,1,0,1951000
duplex,Ajwa Road,DEV Krupa,3 BHK,2,1,2021,,0,new,2,1,1,0,0,0,1,0,0,0,1,1,1,6000000
apartment,Ajwa Road,Dove Deck,2 BHK,2,1,1135,,1,resale,2,1,1,0,0,0,1,0,0,0,1,1,1,3350000
apartment,Ajwa Road,Dove Deck,2 BHK,2,1,1310,,1,resale,2,1,1,0,0,0,1,0,0,0,1,1,1,3750000
apartment,Ajwa Road,Dove Deck,2 BHK,2,1,1350,,1,resale,2,1,1,0,0,0,1,0,0,0,1,1,1,3300000
apartment,Ajwa Road,Dove Deck,3 BHK,2,1,1660,,1,resale,2,1,1,0,0,0,1,0,0,0,1,1,1,4100000
apartment,Ajwa Road,Dove Deck,3 BHK,2,1,1800,,1,resale,2,1,1,0,0,0,1,0,0,0,1,1,1,5500000
apartment,Ajwa Road,Taksh Shivam Enclave,2 BHK,2,1,800,2015,1,resale,1,1,0,0,0,0,1,0,0,1,1,1,1,2300000
apartment,Ajwa Road,Ananta Samruddhi,2 BHK,2,1,1150,2019,1,resale,1,1,1,1,0,1,1,0,0,1,1,1,1,2300000
apartment,Ajwa Road,Ananta Samruddhi,3 BHK,2,1,1410,2019,1,resale,1,1,1,1,0,1,1,0,0,1,1,1,1,2400000
duplex,Ajwa Road,Pancham villa,3 BHK,3,1,1195,,0,resale,1,1,1,1,0,1,1,0,0,0,1,1,1,5100000
duplex,Ajwa Road,Everset Orbit 99,3 BHK,4,1,2000,2019,1,new,1,1,1,1,0,1,1,0,0,1,1,1,1,6750000
duplex,Ajwa Road,Everset Orbit 99,4 BHK,4,1,2100,2019,1,new,1,1,1,0,0,1,1,0,0,1,1,1,1,9000000
duplex,Ajwa Road,Ananta Sanskar,1 BHK,1,1,500,2019,0,new,2,1,1,0,0,1,1,0,0,1,1,1,1,2300000
duplex,Ajwa Road,Ananta Sanskar,2 BHK,2,1,900,2019,1,new,2,1,1,0,0,1,1,0,0,1,1,1,1,2700000
duplex,Ajwa Road,Ananta Sanskar,3 BHK,3,1,1150,2019,1,new,2,1,1,0,0,1,1,0,0,1,1,1,1,3300000
duplex,Ajwa Road,Ananta Sanskar,4 BHK,4,1,1350,2019,0,new,2,1,1,0,0,1,1,0,0,1,1,1,1,4050000
apartment,Harni,Samanvay Samipya,3 BHK,4,1,1791,,1,new,1,1,1,1,1,0,1,0,0,1,1,1,1,4100000
apartment,Waghodia Road,Darshanam Aagman,2 BHK,2,1,1046,2019,0,new,2,1,1,1,0,1,1,0,0,1,1,1,1,2190000
apartment,Waghodia Road,Kamlesh Gandhi Ultima Lifestyle,2 BHK,2,1,1494,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,1,3251000
duplex,Waghodia Road,Taksh Aura,3 BHK,3,1,1112,,0,new,2,1,1,1,0,1,1,0,0,1,1,1,1,4801000
duplex,Gorwa,Pratham Srushti,3 BHK,3,1,820,,0,new,1,1,1,0,0,1,1,0,0,1,1,1,1,4940000
duplex,Waghodia Road,Akshar Aashray,1 BHK,1,1,540,,0,new,1,1,1,0,0,1,1,0,0,1,1,1,1,2250000
duplex,Waghodia Road,Akshar Aashray,3 BHK,2,1,1030,,0,new,1,1,1,0,0,1,1,0,0,1,1,1,1,2950000
duplex,Waghodia Road,Akshar Aashray,4 BHK,4,1,1350,,0,new,1,1,1,0,0,1,1,0,0,1,1,1,1,4550000
apartment,Waghodia Road,Shree Siddheshwar Highlite,3 BHK,3,1,1160,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,4300000
apartment,Waghodia Road,Sangani Dove Deck,2 BHK,2,1,788,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,3400000
apartment,Waghodia Road,Sangani Dove Deck,3 BHK,3,1,1047,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,6360000
duplex,Waghodia Road,Kalash Villas,4 BHK,3,1,1840,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,4250000
duplex,Waghodia Road,ParkRest Villas,3 BHK,3,1,1281,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,3620000
duplex,Waghodia Road,ParkRest Villas,4 BHK,4,1,1206,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,4020000
duplex,Waghodia Road,ParkRest Villas,4 BHK,4,1,1281,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,4221000
apartment,Waghodia Road,Parweshwar Ved Residency 2,2 BHK,2,0,840,,0,new,1,1,1,0,0,1,1,0,0,1,1,1,1,1750000
apartment,Waghodia Road,Shree Swaminarayan Park,2 BHK,2,2,1033,2019,0,new,1,1,0,1,0,1,1,0,0,1,1,1,1,1900000
apartment,Waghodia Road,Shree Swaminarayan Park,3 BHK,3,2,1289,2019,0,new,1,1,0,1,0,1,1,0,0,1,1,1,1,2300000
duplex,Waghodia Road,Shilp Residency,3 BHK,3,3,1600,2016,1,new,1,1,0,1,0,1,1,0,0,1,1,1,1,9445000
apartment,Waghodia Road,Royal Gold ,2 BHK,2,2,1100,2019,0,new,1,1,0,1,0,1,1,0,0,1,1,1,1,2851000
apartment,Waghodia Road,Royal Gold ,3 BHK,3,3,1400,2019,0,new,1,1,0,1,0,1,1,0,0,1,1,1,1,3751000
apartment,Waghodia Road,Aditya Group,2 BHK,2,1,1080,2017,0,new,1,1,0,1,0,1,1,0,0,1,1,1,1,3000000
apartment,Waghodia Road,Aditya Group,3 BHK,3,3,1086,2017,0,new,1,1,0,1,0,1,1,0,0,1,1,1,1,4300000
apartment,Waghodia Road,Shree Siddhanath Paradise,2 BHK,2,2,693,,0,new,1,1,1,1,0,1,1,0,1,1,1,1,1,2350000
duplex,Waghodia Road,Shyamal Country ,1 BHK,1,1,595,2017,0,new,2,1,1,1,0,1,1,0,0,1,1,1,1,1575000
duplex,Waghodia Road,Shyamal Country ,3 BHK,3,2,1085,2017,0,new,2,1,1,1,0,1,1,0,0,1,1,1,1,2225000
apartment,Waghodia Road,Shreeji Nandavan Heights,1 BHK,1,2,750,,0,resale,1,1,1,1,0,1,1,0,0,1,1,1,1,1711000
duplex,Waghodia Road,Darshanam Greens,4 BHK,4,2,1517,,1,resale,0,1,1,1,0,1,1,0,0,1,1,1,1,8880000
duplex,Waghodia Road,Darshanam Greens ,4 BHK,3,2,1560,,1,resale,0,1,1,1,0,1,1,0,0,1,1,1,1,8880000
duplex,Waghodia Road,Darshanam Greens,3 BHK,2,2,1050,,1,resale,0,1,1,1,0,1,1,0,0,1,1,1,1,6000000
duplex,Waghodia Road,Akshar Group,1 BHK,1,0,554,2016,1,resale,1,1,1,1,0,1,1,0,0,1,1,1,1,2600000
duplex,Waghodia Road,Akshar Group,3 BHK,3,1,1025,2016,1,resale,1,1,1,1,0,1,1,0,0,1,1,1,1,3500000
duplex,Waghodia Road,Sarkar Gyanam Homes,2 BHK,2,2,685,,1,resale,0,1,1,1,0,1,1,0,0,1,1,1,1,2500000
duplex,Waghodia Road,The Gokulesh City,1 BHK,1,0,542,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,1400000
duplex,Waghodia Road,The Gokulesh City,2 BHK,2,1,975,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,1600000
duplex,Waghodia Road,The Gokulesh City,3 BHK,3,1,1150,,0,new,1,1,1,1,0,1,1,0,0,1,1,1,1,1800000
apartment,Waghodia Road,Vedant Residency,2 BHK,2,2,1100,,1,resale,1,1,1,1,0,1,1,0,0,1,1,1,1,2300000
apartment,Waghodia Road,Aditya Heights,3 BHK,3,3,2000,,0,resale,0,1,1,1,0,1,1,0,0,1,1,1,1,4500000
apartment,Waghodia Road,Darshanam Vertica,1 BHK,1,1,600,,1,resale,0,1,1,1,0,1,1,0,0,1,1,1,1,1651000
apartment,Waghodia Road,Darshanam Vertica,2 BHK,2,2,1311,,1,resale,0,1,1,1,0,1,1,0,0,1,1,1,1,2700000
apartment,Waghodia Road,Darshanam Vertica,3 BHK,3,2,1840,,1,resale,0,1,1,1,0,1,1,0,0,1,1,1,1,4000000
duplex,Waghodia Road,Pratham Enterprise,2 BHK,2,2,1251,,1,resale,0,1,1,1,0,1,1,0,0,1,1,1,1,2300000
duplex,Waghodia Road,Pratham Enterprise,3 BHK,3,2,1567,,1,resale,0,1,1,1,0,1,1,0,0,1,1,1,1,6500000
duplex,Waghodia Road,Blues Spring,3 BHK,3,3,952,,1,resale,0,1,1,1,0,1,1,0,0,1,1,1,1,3900000
apartment,Waghodia Road,Vedant Edifice,2 BHK,2,3,1100,2019,1,resale,1,1,1,1,0,1,1,0,0,1,1,1,1,2400000
apartment,Madhav Pura,Pawan Viram Plush,2 BHK,2,3,1280,2014,1,resale,1,1,1,1,0,1,1,0,0,1,1,1,1,2688000
apartment,Madhav Pura,Pawan Viram Plush,3 BHK,3,3,1700,2014,1,resale,1,1,1,1,0,1,1,0,0,1,1,1,1,3570000
apartment,Harni,Madhuvan The Ststus,3 BHK,3,2,1032,,0,new,1,1,1,0,0,1,1,0,1,1,1,1,1,3801000
apartment,Harni,Madhuvan The Ststus,3 BHK,3,2,1152,,0,new,1,1,1,0,0,1,1,0,1,1,1,1,1,4243000
apartment,Harni,Madhuvan Palace,3 BHK,3,3,1835,,0,new,1,1,1,0,0,1,1,0,1,1,1,1,1,4000000
apartment,Harni,Madhuvan Palace,4 BHK,4,4,2572,,0,new,1,1,1,0,0,1,1,0,1,1,1,1,1,5602000
apartment,Harni,Nyalkaran Shree Siddheshwar Highlife,3 BHK,3,3,1900,2021,0,new,1,1,1,0,0,1,1,0,1,1,1,1,1,4201000
apartment,Manjalpur,Lilleria Richmond,3 BHK,3,3,1540,2019,0,new,2,1,0,1,0,1,1,0,0,0,1,1,1,5390000
apartment,Manjalpur,Monalisa Residency,3 BHK,3,1,1710,2012,1,resale,2,1,0,1,0,1,1,0,0,0,1,1,1,5500000
triplex,Manjalpur,Luxurious duplex,5 BHK,3,2,2250,2009,1,resale,1,1,1,1,0,1,1,0,0,1,1,1,0,6500000
triplex,Manjalpur,Pramukh prasad road,4 BHK,3,2,2200,2014,1,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,7600000
apartment,Harni,Rama Sky Harmony,2 BHK,2,1,1270,2016,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,3401000
apartment,Harni,Rama Sky Harmony,4 BHK,4,2,3500,2016,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,9503000
apartment,Harni,Om Royalisa,2 BHK,2,2,1015,,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,2535000
apartment,Harni,Om Royalisa,2 BHK,2,2,1091,,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,2725000
apartment,Harni,Om Royalisa,3 BHK,3,2,1761,,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,4100000
apartment,Harni,Om Royalisa,3 BHK,3,2,1805,,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,4201000
apartment,Harni,Shubham Elite,2 BHK,2,0,1255,2015,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,3450000
apartment,Harni,Shubham Elite,3 BHK,3,0,1690,2015,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,4800000
apartment,Harni,Shubham Elite,3 BHK,0,0,1480,2015,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,4303000
apartment,Harni,Riddhi Siddhi Castle Height,3 BHK,3,1,1910,2016,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,5350000
duplex,Harni,NK Siddheshwar Hilarious ,3 BHK,3,3,1487,2019,0,new,0,1,1,1,0,1,1,0,1,0,1,1,0,7200000
apartment,Harni,Nyalkaran Shree Siddheshwar Holiness,2 BHK,2,0,671,,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,2400000
apartment,Harni,Nyalkaran Shree Siddheshwar Holiness,3 BHK,3,0,925,,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,3400000
apartment,Harni,AGSP Krishnam Airwings ,2 BHK,2,1,1319,,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,2751000
apartment,Harni,AGSP Krishnam Airwings ,3 BHK,3,1,1677,,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,3346000
apartment,Harni,AGSP Krishnam Airwings ,3 BHK,3,1,2591,,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,5169000
apartment,Harni,SP Shree Siddheshwar Paradise,2 BHK,2,2,811,,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,3100000
apartment,Harni,SP Shree Siddheshwar Paradise,3 BHK,3,2,1064,,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,4100000
apartment,Harni,SP Shree Siddheshwar Paradise,4 BHK,4,3,1501,,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,5900000
apartment,Harni,38 Avenue,2 BHK,2,0,1000,2019,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,2500000
apartment,Harni,38 Avenue,3 BHK,3,0,1385,2019,0,new,1,1,1,1,0,1,1,0,1,0,1,1,0,3100000
apartment,Khodiyar Nagar,Upvan Heritage,3 BHK,3,2,1385,2019,0,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,3550000
apartment,Harni,Temple View,2 BHK,2,1,1165,2019,0,resale,1,1,1,1,0,1,1,0,1,0,1,1,0,3200000
apartment,Harni,Temple View,3 BHK,3,2,1445,2019,0,resale,1,1,1,1,0,1,1,0,1,0,1,1,0,3700000
apartment,Harni,Sarva Square,2 BHK,2,1,945,2017,0,resale,1,1,1,1,0,1,1,0,1,0,1,1,0,3100000
apartment,Harni,Sarva Square,2 BHK,2,1,946,2017,0,resale,1,1,1,1,0,1,1,0,1,0,1,1,0,3100000
apartment,Harni,Sarva Square,2 BHK,2,1,952,2017,0,resale,1,1,1,1,0,1,1,0,1,0,1,1,0,3100000
apartment,Harni,Siddarth Square,1 BHK,1,1,725,,1,resale,0,1,1,1,0,1,1,0,1,0,1,1,0,2012500
apartment,Harni,Sumeru Heights,2 BHK,2,1,1097,,1,resale,1,1,1,1,0,1,1,0,1,0,1,1,0,3500000
apartment,Harni,Sumeru Heights,2 BHK,2,1,1050,,1,resale,1,1,1,1,0,1,1,0,1,0,1,1,0,2650000
apartment,Harni,Sumeru Heights,2 BHK,2,1,1250,,1,resale,1,1,1,1,0,1,1,0,1,0,1,1,0,3800000
apartment,Harni,Sumeru Heights,3 BHK,3,1,1785,,1,resale,1,1,1,1,0,1,1,0,1,0,1,1,0,3700000
apartment,Harni,Sumeru Heights,3 BHK,3,1,3200,,1,resale,1,1,1,1,0,1,1,0,1,0,1,1,0,6300000
duplex,New Karelibaugh,Shree Rangam Vintage,3 BHK,3,2,1500,,0,new,0,1,1,1,0,1,1,0,0,0,1,1,0,4701000
duplex,New Karelibaugh,Shree Hari Krishna Haricom,1 BHK,1,1,760,,0,new,0,1,1,1,0,1,1,0,0,0,1,1,0,1151000
duplex,New Karelibaugh,Shree Hari Krishna Haricom,1 BHK,1,1,792,,0,new,0,1,1,1,0,1,1,0,0,0,1,1,0,1199000
duplex,New Karelibaugh,Shree Hari Krishna Haricom,2 BHK,2,1,1120,,0,new,0,1,1,1,0,1,1,0,0,0,1,1,0,1751000
duplex,New Karelibaugh,Shree Hari Krishna Haricom,3 BHK,3,2,1375,,0,new,0,1,1,1,0,1,1,0,0,0,1,1,0,2299000
apartment,New Karelibaugh,Sahaj Residency,2 BHK,2,1,557,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,1930000
apartment,New Karelibaugh,Sahaj Residency,2 BHK,2,1,629,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,2151000
apartment,New Karelibaugh,Sahaj Residency,3 BHK,3,2,876,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,2770000
apartment,New Karelibaugh,Sahaj Residency,4 BHK,4,2,976,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,5115000
apartment,New Karelibaugh,Sahaj Residency,4 BHK,4,2,1058,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,5400000
apartment,New VIP Road,Aditya Pancham ELite,2 BHK,2,1,1050,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,2205000
apartment,New VIP Road,Aditya Pancham ELite,2 BHK,2,1,1280,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,2688000
apartment,New VIP Road,Aditya Pancham ELite,3 BHK,3,2,1860,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,3906000
pent house,New VIP Road,Aditya Pancham ELite,3 BHK,3,2,1975,,1,new,1,1,1,1,0,1,1,0,0,0,1,1,0,4147000
pent house,New VIP Road,Aditya Pancham ELite,3 BHK,3,2,2550,,1,new,1,1,1,1,0,1,1,0,0,0,1,1,0,5355000
apartment,Sama,Shiv Om Shivalik IV,1 BHK,1,1,601,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,1412000
apartment,Sama,Shiv Om Shivalik IV,2 BHK,2,1,501,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,1177000
apartment,Sama,Shiv Om Shivalik IV,2 BHK,2,1,693,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,1628000
apartment,Karelibaug,Bhagirath Heights ,1 BHK,1,1,330,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,1350000
apartment,Karelibaug,Bhagirath Heights ,2 BHK,2,1,590,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,2050000
apartment,Mandvi,Balaji Avadhoot Residency,2 BHK,2,1,1000,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,2700000
apartment,Harni,Madhuvan The Signature,3 BHK,3,2,1400,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,3300000
apartment,Harni,Madhuvan The Signature,3 BHK,3,2,2051,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,5100000
apartment,New Karelibaugh,Avadh City,2 BHK,2,1,1050,2018,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,1850000
apartment,New Karelibaugh,Avadh City,3 BHK,3,1,1350,2018,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,2400000
duplex,New Karelibaugh,Avadh City,3 BHK,3,2,1350,2018,1,new,1,1,1,1,0,1,1,0,0,0,1,1,0,5000000
duplex,New Karelibaugh,Shree Hari Bungalows,3 BHK,3,2,1800,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,5501000
apartment,New Karelibaugh,SP Shree Siddheshwar Plaza 2,2 BHK,2,1,710,2019,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,2450000
apartment,New Karelibaugh,SP Shree Siddheshwar Plaza 2,3 BHK,3,2,935,2019,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,3250000
apartment,New Karelibaugh,Siddheshwar Homes,2 BHK,2,1,1050,,0,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,1850000
apartment,New Karelibaugh,Shreeji Ashray,2 BHK,2,1,915,2018,1,resale,1,1,1,1,0,1,1,0,0,0,1,1,0,2400000
apartment,New Karelibaugh,Sakar Krupa Residency,2 BHK,2,1,1000,2017,1,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,1800000
apartment,New Karelibaugh,Mukhi Eshanti Heights,3 BHK,2,3,1300,,1,resale,1,1,1,1,0,1,1,0,0,0,1,1,0,2950000
apartment,New Karelibaugh,Mukhi Eshanti Heights,4 BHK,4,3,1600,,1,resale,1,1,1,1,0,1,1,0,0,0,1,1,0,5100000
apartment,New VIP Road,Earth Icon,2 BHK,2,1,950,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,2400000
apartment,New VIP Road,Earth Icon,3 BHK,3,1,1340,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,3374000
duplex,New VIP Road,Kyenfra Viera Villas,4 BHK,4,0,1300,,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,6500000
duplex,New VIP Road,Kraft Alok Residency,3 BHK,3,2,1545,,1,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,5500000
apartment,New VIP Road,Earth Icon 2,2 BHK,2,1,928,2016,1,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,2800000
apartment,New VIP Road,Earth Icon 2,3 BHK,3,1,1140,2016,1,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,3500000
duplex,New VIP Road,Earth Icon 2,3 BHK,3,1,1200,2016,1,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,6500000
apartment,Khodiyar Nagar,Shiv Ratnam Square,2 BHK,2,1,700,,0,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,3300000
apartment,Khodiyar Nagar,Pancham Elite,2 BHK,2,2,1250,2019,0,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,2500000
apartment,Soma Talav,Samruddhi Residency,1 BHK,1,1,428,2019,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,1180000
duplex,Sayajipura,Darshanam Residency,2 BHK,2,1,512,2016,0,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,3250000
apartment,Sayajipura,Shreeji Highview,2 BHK,2,2,667.71,,1,resale,1,1,1,1,0,1,1,0,0,0,1,1,0,3951000
duplex,Sayajipura,Omkara Heritage,4 BHK,3,2,1200,2017,1,resale,1,1,1,1,0,1,1,0,0,0,1,1,0,6200000
apartment,Sayajipura,Sakar Gyananand Greens,1 BHK,1,1,650,2015,0,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,1250000
tenament,Sayajipura,Taksh Aangan,1 BHK,1,0,585,2016,0,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,2600000
tenament,Sayajipura,Taksh Aangan,1 BHK,1,0,720,2016,0,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,3400000
apartment,Sayajipura,Sharnam Happy Homes,1 BHK,1,1,800,2019,1,resale,0,1,1,1,0,1,1,0,0,0,1,1,0,2200000
apartment,Sama,Shrinagar Residency,3 BHK,2,1,1500,2019,0,new,1,1,1,1,0,1,1,0,0,0,1,1,0,4200000
